,TimeStep,Vehicle_ID,_X,_Y,_Angle,_Pos,_Speed,_Lane,_Slope
22067,477.00,48,12045.97,12883.16,68.64,1623.42,19.02,229938465#5_0,0.00
22068,477.00,49,10525.93,12477.29,352.11,229.78,13.42,-288088612#4_0,0.00
22069,477.00,5,11311.24,5758.18,336.85,6207.91,13.68,-288088612#6_0,0.00
22070,477.00,6,12411.47,16540.59,287.44,1421.22,23.19,347355525#5_0,0.00
22071,477.00,7,8732.69,8407.67,308.15,2196.70,18.45,288088613#0_0,0.00
22072,477.00,8,10624.93,10514.37,357.19,3181.10,14.60,-288088612#5_0,0.00
22073,477.00,9,16084.47,14996.34,224.82,389.86,18.34,-1002123620#4_0,0.00
22074,478.00,0,6264.03,11162.47,259.59,2647.78,23.07,-229938465#2_0,0.00
22075,478.00,10,16074.12,14981.48,225.55,2.91,23.67,:2384737460_0_1,0.00
22076,478.00,11,10543.81,12283.83,179.41,213.71,16.57,288088612#4_0,0.00
22077,478.00,12,8453.77,11637.36,257.50,405.86,22.89,-229938465#2_0,0.00
22078,478.00,13,13186.55,13393.91,65.15,2873.19,24.70,229938465#5_0,0.00
22079,478.00,14,10543.41,12853.42,181.29,161.71,15.48,288088612#2_0,0.00
22080,478.00,15,16051.10,15293.15,270.74,314.25,19.53,347355525#1_0,0.00
22081,478.00,16,8908.48,11727.97,77.91,42.55,18.50,229938465#3_0,0.00
22082,478.00,17,9129.96,16981.83,184.92,512.56,20.08,-347355524#1_0,0.00
22083,478.00,19,10071.07,12041.50,248.34,93.48,25.10,-229938465#3_0,0.00
22084,478.00,2,8818.96,15498.15,21.36,2641.77,21.61,347355524#1_0,0.00
22085,478.00,20,10354.36,15282.62,171.23,1610.03,16.69,288088612#0_0,0.00
22086,478.00,21,10625.42,10504.34,357.19,3171.06,15.01,-288088612#5_0,0.00
22087,478.00,22,3993.11,11672.32,64.83,3912.18,20.45,347355524#0_0,0.00
22088,478.00,23,15427.14,14387.04,47.31,139.07,18.83,1002123620#1_0,0.00
22089,478.00,25,9405.41,17453.85,6.56,502.72,6.26,-803874779#0_0,0.00
22090,478.00,26,1430.68,10441.96,63.35,1069.53,20.13,347355524#0_0,0.00
22091,478.00,28,10352.04,15318.61,351.23,1029.12,18.37,-288088612#0_0,0.00
22092,478.00,29,10573.94,13886.93,0.28,846.08,15.31,-288088612#1_0,0.00
22093,478.00,3,13895.79,15937.43,118.72,78.04,23.14,-347355525#3_0,0.00
22094,478.00,30,10665.84,8646.88,181.40,3582.18,18.89,288088612#5_0,0.00
22095,478.00,31,10622.96,7794.33,183.23,4435.84,18.51,288088612#5_0,0.00
22096,478.00,32,8409.69,14655.23,32.20,1703.12,22.04,347355524#1_0,0.00
22097,478.00,33,6390.93,10321.51,319.90,178.16,25.25,288088613#2_0,0.00
22098,478.00,34,9263.98,17364.78,23.46,4585.87,21.23,347355524#1_0,0.00
22099,478.00,35,11315.12,5749.13,336.85,6198.06,14.25,-288088612#6_0,0.00
22100,478.00,36,12795.34,16402.75,109.60,745.41,21.38,-347355525#5_0,0.00
22101,478.00,37,10670.65,9490.71,358.14,2156.35,18.71,-288088612#5_0,0.00
22102,478.00,38,17063.81,14457.31,280.60,1789.16,14.59,-958984632_0,0.00
22103,478.00,39,1072.63,10277.01,66.39,675.18,19.34,347355524#0_0,0.00
22104,478.00,4,8251.62,11591.02,255.88,613.27,22.46,-229938465#2_0,0.00
22105,478.00,40,14892.85,13942.57,75.63,4669.88,21.91,229938465#5_0,0.00
22106,478.00,42,5295.70,12290.52,244.00,2264.11,24.06,-347355524#0_0,0.00
22107,478.00,43,13517.60,13537.67,69.00,3234.27,21.85,229938465#5_0,0.00
22108,478.00,45,10236.06,16032.08,352.51,1751.97,17.15,-288088612#0_0,0.00
22109,478.00,46,16156.39,15068.71,224.82,287.84,21.32,-1002123620#4_0,0.00
22110,478.00,47,2921.53,11162.49,64.61,2725.48,19.55,347355524#0_0,0.00
22111,478.00,48,12064.01,12890.22,68.64,1642.79,19.37,229938465#5_0,0.00
22112,478.00,49,10524.89,12489.19,355.00,241.72,11.94,-288088612#4_0,0.00
22113,478.00,5,11305.98,5770.49,336.85,6221.30,13.39,-288088612#6_0,0.00
