,Car1,Car2,Car3,Car4,Car5,Car6,Car7,Car8,Car9
157,77.0,52.0,51.0,44.0,33.0,33.0,27.0,30.0,23.0
158,75.0,53.0,51.0,48.0,34.0,24.0,22.0,30.0,22.0
159,76.0,53.0,51.0,45.0,34.0,37.0,25.0,33.0,23.0
160,76.0,53.0,51.0,44.0,36.0,30.0,22.0,27.0,21.0
161,78.0,52.0,51.0,45.0,33.0,35.0,20.0,29.0,22.0
162,78.0,53.0,48.0,48.0,33.0,34.0,23.0,28.0,19.0
163,77.0,53.0,48.0,47.0,34.0,30.0,24.0,29.0,18.0
164,77.0,53.0,48.0,48.0,33.0,35.0,27.0,30.0,22.0
165,78.0,53.0,48.0,48.0,31.0,30.0,26.0,30.0,22.0
166,77.0,53.0,45.0,47.0,29.0,31.0,27.0,30.0,24.0
167,76.0,53.0,48.0,45.0,30.0,34.0,29.0,31.0,22.0
168,76.0,53.0,45.0,47.0,30.0,33.0,30.0,31.0,22.0
169,76.0,53.0,48.0,47.0,29.0,31.0,26.0,35.0,22.0
170,75.0,53.0,47.0,48.0,28.0,39.0,25.0,31.0,21.0
171,75.0,53.0,47.0,44.0,29.0,37.0,20.0,30.0,22.0
172,76.0,53.0,49.0,45.0,30.0,30.0,23.0,32.0,22.0
173,76.0,52.0,46.0,44.0,32.0,31.0,23.0,30.0,20.0
174,76.0,52.0,49.0,47.0,32.0,31.0,24.0,28.0,19.0
175,77.0,52.0,46.0,47.0,32.0,30.0,24.0,29.0,17.0
176,77.0,52.0,48.0,47.0,33.0,33.0,28.0,29.0,19.0
177,76.0,53.0,48.0,46.0,36.0,31.0,24.0,29.0,19.0
178,73.0,53.0,48.0,44.0,33.0,22.0,23.0,30.0,20.0
179,72.0,53.0,49.0,47.0,34.0,22.0,32.0,29.0,19.0
180,72.0,52.0,48.0,47.0,32.0,30.0,34.0,29.0,21.0
181,74.0,53.0,48.0,46.0,37.0,27.0,30.0,29.0,19.0
182,73.0,53.0,50.0,46.0,37.0,23.0,30.0,29.0,19.0
183,74.0,53.0,51.0,44.0,31.0,27.0,30.0,29.0,20.0
184,75.0,53.0,50.0,44.0,33.0,22.0,29.0,29.0,19.0
185,75.0,52.0,50.0,47.0,34.0,27.0,25.0,30.0,19.0
186,74.0,53.0,51.0,44.0,35.0,22.0,28.0,30.0,20.0
187,75.0,53.0,48.0,47.0,36.0,31.0,31.0,28.0,20.0
188,76.0,53.0,47.0,46.0,36.0,32.0,28.0,28.0,18.0
189,75.0,52.0,51.0,43.0,33.0,37.0,30.0,29.0,21.0
190,76.0,52.0,50.0,47.0,33.0,37.0,29.0,28.0,21.0
191,76.0,53.0,48.0,47.0,33.0,37.0,26.0,28.0,21.0
192,75.0,52.0,47.0,47.0,34.0,31.0,29.0,28.0,23.0
193,76.0,53.0,48.0,47.0,31.0,32.0,28.0,28.0,22.0
194,76.0,53.0,48.0,42.0,34.0,36.0,15.0,27.0,21.0
195,76.0,53.0,47.0,40.0,29.0,33.0,15.0,27.0,21.0
196,77.0,53.0,51.0,40.0,31.0,34.0,22.0,27.0,22.0
197,77.0,53.0,48.0,40.0,29.0,29.0,27.0,30.0,22.0
198,77.0,54.0,51.0,39.0,27.0,27.0,29.0,31.0,23.0
199,77.0,53.0,47.0,40.0,28.0,30.0,22.0,31.0,24.0
200,78.0,53.0,50.0,43.0,28.0,35.0,23.0,35.0,22.0
201,79.0,52.0,50.0,43.0,28.0,36.0,25.0,32.0,23.0
202,77.0,52.0,48.0,44.0,29.0,40.0,27.0,32.0,22.0
203,76.0,52.0,50.0,44.0,31.0,33.0,26.0,31.0,21.0
204,75.0,53.0,47.0,45.0,33.0,36.0,26.0,31.0,24.0
205,74.0,53.0,50.0,43.0,33.0,33.0,26.0,32.0,23.0
206,74.0,53.0,48.0,42.0,33.0,32.0,24.0,31.0,23.0
207,75.0,53.0,52.0,42.0,31.0,31.0,24.0,29.0,21.0
208,76.0,53.0,48.0,43.0,31.0,35.0,21.0,29.0,22.0
209,76.0,51.0,52.0,43.0,32.0,34.0,22.0,29.0,21.0
210,76.0,50.0,48.0,43.0,30.0,31.0,16.0,30.0,20.0
211,75.0,51.0,51.0,46.0,36.0,32.0,22.0,29.0,21.0
212,78.0,51.0,48.0,43.0,33.0,27.0,22.0,28.0,22.0
213,77.0,51.0,49.0,43.0,32.0,30.0,20.0,26.0,22.0
214,76.0,51.0,46.0,46.0,29.0,31.0,22.0,28.0,23.0
215,77.0,52.0,49.0,42.0,32.0,27.0,16.0,30.0,24.0
216,75.0,51.0,45.0,43.0,34.0,34.0,18.0,29.0,24.0
217,76.0,51.0,47.0,45.0,33.0,37.0,16.0,29.0,23.0
218,76.0,51.0,48.0,46.0,34.0,34.0,23.0,29.0,23.0
219,76.0,51.0,48.0,43.0,35.0,22.0,24.0,29.0,23.0
