TimeStep,Vehicle_ID,_X,_Y,_Angle,_Pos,_Speed,_Lane,_Slope
14.0,6,20826.56,19591.16,226.95,72.17,16.03,-1002123620#6_0,0.0
14.0,7,10547.56,12164.27,177.59,60.41,12.96,288088612#5_0,0.0
14.0,8,6580.66,10120.46,132.02,45.58,12.2,-288088613#0_0,0.0
14.0,9,24134.32,13378.5,256.52,35.02,9.93,347355525#0_0,0.0
15.0,0,10102.5,16667.97,166.69,201.08,17.62,288088612#0_0,0.0
15.0,1,7119.86,13266.38,232.86,191.36,20.25,-347355524#0_0,0.0
15.0,10,24151.08,13382.99,254.4,17.66,6.44,347355525#0_0,0.0
15.0,11,9437.53,17461.91,91.13,25.7,8.23,-347355525#6_0,0.0
15.0,12,9400.31,17439.4,188.51,17.43,6.59,803874779#0_0,0.0
15.0,13,8839.93,11722.95,257.5,10.32,3.56,-229938465#2_0,0.0
15.0,14,12069.3,16648.95,287.63,6.89,1.79,347355525#6_0,0.0
15.0,15,24163.18,13386.37,254.4,5.1,0.0,347355525#0_0,0.0
15.0,2,619.03,10067.62,64.22,175.52,21.27,347355524#0_0,0.0
15.0,3,7071.79,13927.06,179.92,139.02,14.89,602247752_0,0.0
15.0,4,15134.32,15273.7,252.19,111.25,13.63,-803864266_0,0.0
15.0,5,13590.77,99.81,338.3,107.06,13.85,-288088612#6_0,0.0
15.0,6,20813.02,19578.51,226.95,90.69,18.52,-1002123620#6_0,0.0
15.0,7,10548.09,12149.64,177.9,75.04,14.64,288088612#5_0,0.0
15.0,8,6590.7,10111.41,132.02,59.1,13.52,-288088613#0_0,0.0
15.0,9,24123.24,13376.6,260.24,46.26,11.25,347355525#0_0,0.0
16.0,0,10106.34,16651.74,166.69,217.76,16.68,288088612#0_0,0.0
16.0,1,7103.33,13253.86,232.86,212.1,20.74,-347355524#0_0,0.0
16.0,10,24142.75,13380.67,254.4,26.31,8.65,347355525#0_0,0.0
16.0,11,9447.37,17461.72,91.13,35.54,9.84,-347355525#6_0,0.0
16.0,12,9399.07,17431.12,188.51,25.8,8.37,803874779#0_0,0.0
16.0,13,8834.65,11721.78,257.5,15.73,5.41,-229938465#2_0,0.0
16.0,14,12065.59,16650.13,287.63,10.78,3.9,347355525#6_0,0.0
16.0,15,24161.09,13385.79,254.4,7.27,2.17,347355525#0_0,0.0
16.0,16,467.08,9974.29,97.69,5.1,0.0,229938465#1_0,0.0
16.0,2,638.16,10076.86,64.22,196.77,21.25,347355524#0_0,0.0
16.0,3,7071.81,13913.15,179.92,152.94,13.91,602247752_0,0.0
16.0,4,15121.28,15269.51,252.19,124.95,13.69,-803864266_0,0.0
16.0,5,13586.06,111.65,338.3,119.8,12.74,-288088612#6_0,0.0
16.0,6,20798.23,19564.69,226.95,110.94,20.25,-1002123620#6_0,0.0
16.0,7,10548.61,12135.64,177.9,89.05,14.01,288088612#5_0,0.0
16.0,8,6601.99,10101.24,132.02,74.29,15.2,-288088613#0_0,0.0
16.0,9,24110.38,13374.38,260.24,59.31,13.04,347355525#0_0,0.0
17.0,0,10110.29,16635.07,166.69,234.88,17.13,288088612#0_0,0.0
17.0,1,7086.8,13241.34,232.86,232.83,20.73,-347355524#0_0,0.0
17.0,10,24131.93,13378.09,259.36,37.45,11.14,347355525#0_0,0.0
17.0,11,9459.08,17461.49,91.13,47.26,11.72,-347355525#6_0,0.0
17.0,12,9397.58,17421.14,188.51,35.89,10.09,803874779#0_0,0.0
17.0,13,8827.94,11720.29,257.5,22.61,6.88,-229938465#2_0,0.0
17.0,14,12060.52,16651.74,287.63,16.11,5.32,347355525#6_0,0.0
17.0,15,24157.42,13384.76,254.4,11.08,3.81,347355525#0_0,0.0
17.0,16,469.56,9973.95,97.69,7.6,2.5,229938465#1_0,0.0
17.0,17,7308.4,13396.4,128.13,5.1,0.0,-500298205_0,0.0
17.0,2,657.83,10086.3,64.56,218.59,21.82,347355524#0_0,0.0
17.0,3,7072.21,13898.12,178.31,167.97,15.03,602247752_0,0.0
17.0,4,15108.79,15265.5,252.19,138.06,13.12,-803864266_0,0.0
17.0,5,13581.31,123.59,338.3,132.65,12.85,-288088612#6_0,0.0
17.0,6,20782.35,19549.86,226.95,132.66,21.72,-1002123620#6_0,0.0
17.0,7,10549.15,12120.89,177.9,103.82,14.77,288088612#5_0,0.0
17.0,8,6614.57,10089.9,132.02,91.23,16.94,-288088613#0_0,0.0
17.0,9,24095.54,13371.83,260.24,74.37,15.07,347355525#0_0,0.0
18.0,0,10114.1,16618.95,166.69,251.45,16.57,288088612#0_0,0.0
18.0,1,7070.86,13229.26,232.86,252.83,20.0,-347355524#0_0,0.0
18.0,10,24119.65,13375.98,260.24,49.91,12.46,347355525#0_0,0.0
18.0,11,9472.66,17461.22,91.13,60.84,13.59,-347355525#6_0,0.0
18.0,12,9395.92,17409.61,187.71,47.54,11.65,803874779#0_0,0.0
18.0,13,8818.8,11718.26,257.5,31.97,9.36,-229938465#2_0,0.0
18.0,14,12053.26,16654.04,287.63,23.73,7.62,347355525#6_0,0.0
18.0,15,24151.44,13383.09,254.4,17.29,6.21,347355525#0_0,0.0
18.0,16,473.36,9973.44,97.69,11.43,3.83,229938465#1_0,0.0
18.0,17,7310.04,13395.12,128.13,7.18,2.08,-500298205_0,0.0
18.0,18,15239.7,15306.04,271.35,5.1,0.0,347355525#3_0,0.0
18.0,2,677.45,10095.63,64.56,240.31,21.72,347355524#0_0,0.0
18.0,3,7072.63,13883.76,178.31,182.33,14.36,602247752_0,0.0
18.0,4,15096.38,15261.52,252.19,151.1,13.04,-803864266_0,0.0
18.0,5,13576.51,135.66,338.3,145.64,12.99,-288088612#6_0,0.0
18.0,6,20766.06,19534.64,226.95,154.96,22.3,-1002123620#6_0,0.0
18.0,7,10549.68,12106.53,177.9,118.18,14.36,288088612#5_0,0.0
18.0,8,6628.72,10077.16,132.02,110.26,19.04,-288088613#0_0,0.0
18.0,9,24078.64,13368.92,260.24,91.52,17.14,347355525#0_0,0.0
19.0,0,10118.06,16602.22,166.69,268.64,17.19,288088612#0_0,0.0
19.0,1,7054.88,13217.16,232.86,272.87,20.04,-347355524#0_0,0.0
19.0,10,24106.0,13373.63,260.24,63.76,13.85,347355525#0_0,0.0
19.0,11,9488.79,17460.9,91.13,76.97,16.13,-347355525#6_0,0.0
19.0,12,9394.49,17396.36,186.18,60.87,13.33,803874779#0_0,0.0
19.0,13,8807.8,11715.82,257.5,43.24,11.26,-229938465#2_0,0.0
19.0,14,12044.62,16656.79,287.63,32.79,9.07,347355525#6_0,0.0
19.0,15,24143.12,13380.77,254.4,25.92,8.63,347355525#0_0,0.0
19.0,16,478.58,9973.88,84.43,16.74,5.31,229938465#1_0,0.0
19.0,17,7313.7,13392.24,128.13,11.84,4.66,-500298205_0,0.0
19.0,18,15237.72,15306.09,271.35,7.08,1.98,347355525#3_0,0.0
19.0,19,11814.3,15022.92,260.49,5.1,0.0,500298202_0,0.0
19.0,2,696.88,10104.87,64.56,261.83,21.52,347355524#0_0,0.0
19.0,3,7073.06,13869.04,178.31,197.06,14.73,602247752_0,0.0
19.0,4,15083.45,15257.36,252.19,164.68,13.58,-803864266_0,0.0
19.0,5,13571.67,147.8,338.3,158.7,13.07,-288088612#6_0,0.0
19.0,6,20749.34,19519.02,226.95,177.84,22.88,-1002123620#6_0,0.0
19.0,7,10550.18,12092.78,177.9,131.94,13.77,288088612#5_0,0.0
19.0,8,6643.6,10063.74,132.02,130.3,20.04,-288088613#0_0,0.0
19.0,9,24061.1,13365.91,260.24,109.31,17.79,347355525#0_0,0.0
20.0,0,10122.01,16585.52,166.69,285.81,17.16,288088612#0_0,0.0
20.0,1,7038.63,13204.85,232.86,293.26,20.39,-347355524#0_0,0.0
20.0,10,24090.04,13370.89,260.24,79.95,16.19,347355525#0_0,0.0
20.0,11,9507.17,17459.04,96.54,95.46,18.49,-347355525#6_0,0.0
20.0,12,9392.79,17380.67,186.18,76.65,15.78,803874779#0_0,0.0
20.0,13,8794.27,11712.83,257.5,57.09,13.86,-229938465#2_0,0.0
20.0,14,12034.06,16660.14,287.63,43.87,11.08,347355525#6_0,0.0
20.0,15,24132.53,13378.19,258.65,36.84,10.92,347355525#0_0,0.0
20.0,16,485.18,9975.28,78.02,23.49,6.75,229938465#1_0,0.0
20.0,17,7318.44,13388.52,128.13,17.86,6.02,-500298205_0,0.0
20.0,18,15233.53,15306.19,271.35,11.27,4.19,347355525#3_0,0.0
20.0,19,11811.79,15022.5,260.49,7.65,2.55,500298202_0,0.0
20.0,2,717.0,10114.44,64.56,284.1,22.28,347355524#0_0,0.0
20.0,20,4451.66,14889.67,40.03,5.1,0.0,290273433#0_0,0.0
20.0,3,7073.48,13854.76,178.31,211.35,14.29,602247752_0,0.0
20.0,4,15071.03,15253.37,252.19,177.72,13.04,-803864266_0,0.0
20.0,5,13566.91,159.76,338.3,171.58,12.87,-288088612#6_0,0.0
20.0,6,20732.73,19503.51,226.95,200.57,22.73,-1002123620#6_0,0.0
20.0,7,10550.69,12079.0,177.9,145.73,13.79,288088612#5_0,0.0
20.0,8,6658.75,10050.32,131.13,150.54,20.24,-288088613#0_0,0.0
20.0,9,24042.7,13362.74,260.24,127.99,18.68,347355525#0_0,0.0
21.0,0,10125.94,16568.88,166.69,302.9,17.09,288088612#0_0,0.0
21.0,1,7022.22,13192.42,232.86,313.85,20.59,-347355524#0_0,0.0
21.0,10,24072.48,13367.86,260.24,97.77,17.82,347355525#0_0,0.0
21.0,11,9527.28,17456.74,96.54,115.7,20.24,-347355525#6_0,0.0
21.0,12,9391.03,17364.44,186.18,92.98,16.33,803874779#0_0,0.0
21.0,13,8778.29,11709.28,257.5,73.46,16.37,-229938465#2_0,0.0
21.0,14,12021.13,16664.25,287.63,57.44,13.57,347355525#6_0,0.0
21.0,15,24119.29,13375.92,260.24,50.27,13.43,347355525#0_0,0.0
21.0,16,493.62,9977.07,78.02,32.12,8.62,229938465#1_0,0.0
21.0,17,7324.91,13383.44,128.13,26.08,8.22,-500298205_0,0.0
21.0,18,15228.01,15306.32,271.35,16.79,5.52,347355525#3_0,0.0
21.0,19,11807.09,15021.71,260.49,12.41,4.76,500298202_0,0.0
21.0,2,736.34,10123.64,64.56,305.52,21.42,347355524#0_0,0.0
21.0,20,4452.68,14890.78,40.87,6.61,1.51,290273433#0_0,0.0
